lines	nodes	mag.err	dir.err	xyerr
1	1	0.818654	0.212929	1.04977
1	2	0.810754	0.195897	1.03978
1	4	0.809701	0.196999	1.03843
1	8	0.80898	0.193178	1.03755
1	16	0.808423	0.185138	1.03733
2	1	0.822399	0.233454	1.05527
2	2	0.816935	0.218927	1.04846
2	4	0.815249	0.222764	1.04596
2	8	0.813976	0.21808	1.04458
2	16	0.812983	0.218511	1.04411
4	1	0.820294	0.263285	1.0569
4	2	0.820537	0.259463	1.05724
4	4	0.820245	0.262913	1.0564
4	8	0.819228	0.262734	1.05601
4	16	0.81827	0.268276	1.05533
8	1	0.818852	0.391523	1.0656
8	2	0.817569	0.393373	1.06285
8	4	0.816173	0.387859	1.06169
8	8	0.816625	0.39073	1.06164
8	16	0.817224	0.405585	1.0648
16	1	0.815513	0.439764	1.07397
16	2	0.816121	0.443142	1.07329
16	4	0.812207	0.439285	1.07088
16	8	0.81445	0.445944	1.07388
16	16	0.814028	0.440146	1.07852
