lines	nodes	mag err	dir err	xyerr
1	1	0.907642	0.220409	1.16317
1	2	0.907045	0.218134	1.16233
1	4	0.906144	0.221107	1.16121
1	8	0.904616	0.22348	1.1592
1	16	0.904315	0.214579	1.15927
2	1	0.907023	0.235741	1.16311
2	2	0.90638	0.234088	1.16178
2	4	0.905331	0.228971	1.16051
2	8	0.903796	0.239755	1.1587
2	16	0.902342	0.241946	1.15684
4	1	0.905083	0.264939	1.16153
4	2	0.90445	0.266002	1.16084
4	4	0.903455	0.264748	1.15911
4	8	0.90126	0.265007	1.15781
4	16	0.901381	nan	1.15733
8	1	0.90994	nan	1.17044
8	2	0.909418	nan	1.16957
8	4	0.908109	nan	1.16821
8	8	0.907684	nan	1.16725
8	16	0.910928	nan	1.17167
16	1	0.914836	nan	1.17795
16	2	0.914047	nan	1.17736
16	4	0.914355	nan	1.17855
16	8	0.914947	nan	1.18047
16	16	0.915842	nan	1.1848
