lines	nodes	mag err	dir err	xyerr
1	1	0.821633	0.227535	1.05454
1	2	0.820888	0.219565	1.05441
1	4	0.820826	0.224175	1.05435
1	8	0.818665	0.221651	1.0525
1	16	0.815729	0.215499	1.0521
2	1	0.820147	0.235313	1.05384
2	2	0.818722	0.227844	1.05411
2	4	0.816714	0.228735	1.05222
2	8	0.815302	0.230564	1.05066
2	16	0.8133	0.238592	1.04985
4	1	0.819295	0.263412	1.05703
4	2	0.818078	0.263153	1.05532
4	4	0.816688	0.261723	1.05569
4	8	0.813299	0.26318	1.05388
4	16	0.809988	0.265373	1.04923
8	1	0.814013	0.387619	1.06074
8	2	0.815459	0.389589	1.06031
8	4	0.81248	0.382115	1.05884
8	8	0.80995	0.384288	1.0535
8	16	0.804651	0.408008	1.05731
16	1	0.813567	0.440815	1.0704
16	2	0.810377	0.43757	1.06879
16	4	0.810392	0.435553	1.06821
16	8	0.806362	0.442119	1.06922
16	16	0.807007	0.43523	1.07379
