lines	nodes	mag err	dir err	xyerr
1	1	0.825272	0.281088	1.04634
1	2	0.828773	0.29266	1.05082
1	4	0.828343	0.292846	1.0503
1	8	0.828436	0.29198	1.05037
1	16	0.827685	0.295835	1.04956
2	1	0.828003	0.290804	1.0512
2	2	0.827232	0.287962	1.0501
2	4	0.828133	0.288885	1.05127
2	8	0.826919	0.283055	1.05006
2	16	0.826131	0.298311	1.04918
4	1	0.825409	0.319816	1.04972
4	2	0.825437	0.307981	1.0497
4	4	0.824672	0.305282	1.04923
4	8	0.82492	0.318322	1.04934
4	16	0.824135	0.317784	1.04941
8	1	0.820798	0.41362	1.05496
8	2	0.820152	0.40779	1.05539
8	4	0.819857	0.417162	1.0557
8	8	0.820987	0.410506	1.05493
8	16	0.8199	0.410464	1.05449
16	1	0.812987	0.521627	1.07379
16	2	0.81455	0.516208	1.07526
16	4	0.815187	0.532967	1.07642
16	8	0.814458	0.531924	1.07517
16	16	0.811997	0.551947	1.07785
