lines	nodes	mag err	dir err	xyerr
1	1	0.907255	0.298958	1.14701
1	2	0.906818	0.298888	1.14653
1	4	0.905724	0.300373	1.14516
1	8	0.904652	0.303126	1.14414
1	16	0.905818	0.299655	1.14496
2	1	0.906235	0.313188	1.14605
2	2	0.905831	0.3125	1.14611
2	4	0.904999	0.315426	1.14445
2	8	0.904197	0.314281	1.1431
2	16	0.903303	0.316883	1.14244
4	1	0.905396	0.317729	1.14547
4	2	0.904744	0.3149	1.14466
4	4	0.903315	0.322102	1.14301
4	8	0.903206	0.328387	1.14259
4	16	0.902746	0.355368	1.14276
8	1	0.904771	nan	1.14787
8	2	0.904497	nan	1.14811
8	4	0.903924	nan	1.14669
8	8	0.903079	nan	1.14654
8	16	0.900604	nan	1.14435
16	1	0.916007	nan	1.16292
16	2	0.915271	nan	1.16257
16	4	0.91441	nan	1.16177
16	8	0.914131	nan	1.16199
16	16	0.917922	nan	1.16629
