lines	nodes	mag err	dir err	xyerr
1	1	0.827022	0.297937	1.04986
1	2	0.824574	0.29442	1.05007
1	4	0.826424	0.300339	1.0492
1	8	0.824343	0.289952	1.048
1	16	0.821337	0.291349	1.04398
2	1	0.824844	0.286647	1.04983
2	2	0.822707	0.285489	1.04824
2	4	0.821741	0.287197	1.04701
2	8	0.817092	0.288331	1.044
2	16	0.813643	0.29301	1.04068
4	1	0.819115	0.310667	1.04698
4	2	0.819202	0.308798	1.04694
4	4	0.816724	0.308001	1.04407
4	8	0.816159	0.316988	1.04418
4	16	0.81067	0.315838	1.04095
8	1	0.810472	0.413617	1.05082
8	2	0.80943	0.407007	1.04696
8	4	0.806967	0.41749	1.04699
8	8	0.808827	0.405657	1.04654
8	16	0.804239	0.402602	1.04089
16	1	0.804808	0.521888	1.0677
16	2	0.807485	0.508722	1.0707
16	4	0.803613	0.52557	1.07106
16	8	0.806103	0.5329	1.07005
16	16	0.802373	0.537318	1.07097
