lines	nodes	mag err	dir err	xyerr
1	1	0.827788	0.289228	1.04944
1	3	0.827683	0.292482	1.04939
1	9	0.827739	0.28751	1.04951
1	27	0.826602	0.30569	1.04978
1	81	0.822469	0.552457	1.07964
2	1	0.826894	0.283899	1.04965
2	3	0.826741	0.286896	1.0496
2	9	0.826387	0.291622	1.04909
2	27	0.825187	0.309054	1.0493
2	81	0.827663	0.611914	1.1102
4	1	0.824542	0.310367	1.04868
4	3	0.824506	0.309468	1.04862
4	9	0.824157	0.299833	1.04851
4	27	0.820471	0.341859	1.04851
4	81	0.813452	0.683716	1.12184
8	1	0.820824	0.414725	1.05477
8	3	0.820703	0.410519	1.05477
8	9	0.820465	0.420635	1.05522
8	27	0.816088	0.485974	1.06564
8	81	0.814982	0.963425	1.20006
16	1	0.81613	0.521861	1.07527
16	3	0.816107	0.517748	1.07565
16	9	0.815586	0.539113	1.07725
16	27	0.814709	0.573352	1.1001
16	81	0.805053	0.901832	1.18701
